Easting,Northing,In AQMA?,Distance to kerb,Year,NO2
322144,674497,No ,2.0 + 2b ,2011,34.2
318810,674903,No ,16.9,2011,19.2
318723,674963,No ,13.6,2011,25.2
318698,674955,No ,1.49,2011,43.9
318698,674964,No ,10.5,2011, 
323007,673198,Yes ,0.23,2011,34.5
320122,672917,Yes ,0.54,2011,35.1
320154,672911,Yes ,2,2011,38.4
320096,672907,Yes ,2.1,2011,56.3
319651,672995,Yes ,1.56,2011,30
318571,675028,No ,3.5,2011,27.8
323498,672263,No ,2.2,2011,44.4
323587,672360,No ,4.75,2011, 
323526,672285,No ,2.1,2011, 
323487,672287,No ,2.2,2011, 
319062,670543,No ,1.6,2011,31.7
323265,672394,Yes ,2.5,2011, 
321724,671557,Yes ,2.5,2011, 
323477,672476,Yes ,2.4,2011,48.2
321967,671666,Yes ,2.6,2011,42.2
323484,672478,Yes ,0.3,2011,44.4
323632,672449,No ,1.8,2011, 
319527,668420,No ,1.5,2011,22.5
323167,672999,No ,2.3,2011, 
322999,671876,No ,2.6,2011, 
322960,671846,No ,2.67,2011,38.1
322772,671606,No ,2.2,2011,30.2
327148,676507,Yes ,2.2,2012,37
327137,676529,Yes ,2.1,2012,40
327192,676513,Yes ,2.2,2012,33
327135,676515,Yes ,2.1,2012,44
327009,676565,Yes ,2.47,2012,29
326879,676626,Yes ,2.6,2012,35
326430,676754,Yes ,1.47,2012,39
324946,676070,No ,1.65,2012,34
324726,676004,Yes ,1.75 +2.85b ,2012,35
326359,676420,No ,7.5,2012,31
326136,676361,No ,3.7,2012,36
326503,674436,Yes ,3.1,2012,37
326740,676138,Yes ,2.9,2012,38
326925,675949,Yes ,2.8,2012,38
326845,676015,Yes ,2.7,2012,37
326884,675997,Yes ,2.8,2012,38
326757,676144,Yes ,2.8,2012,38
324638,675993,Yes ,4.65,2012,46
324686,675941,Yes ,2.28 + 2.0b ,2012,32
326455,676805,No ,4.2,2012,32
327476,676418,No ,2.25,2012,35
327665,676331,No ,1.8,2012,38
324896,676991,No ,2,2012,28
329997,674274,No ,2.0 + 2.1b ,2012,22
327231,671782,No ,1.8,2012,29
326934,674503,Yes ,2.3,2012,45
326950,674624,Yes ,3.3,2012,35
326958,674770,Yes ,3.25,2012,41
326974,674780,Yes ,2.8,2012,34
326999,674940,Yes ,3.95,2012,33
327010,675149,No ,2.8,2012, 
327071,675467,No ,3,2012,28
326980,674446,Yes ,2.5,2012,46
327190,674433,Yes ,2.7,2012,46
328049,674174,Yes ,2.7,2012,33
328272,674143,Yes ,2.62,2012,42
328337,674129,Yes ,4.6,2012,41
327468,674362,Yes ,2.04 + 2.0b ,2012,36
326944,674472,Yes ,5.6,2012,41
328889,671649,No ,0.2 + 2.4b ,2012,30
328771,674190,No ,4.0 + 2.1b ,2012,28
330242,674162,No ,3.8,2012,28
330830,673726,No ,2.3,2012,24
330366,674057,No ,3.1,2012,25
330533,673850,No ,3,2012,33
329923,674389,No ,2.8,2012,37
329993,674457,No ,4.5,2012,37
325513,675134,No ,2,2012,37
325855,674527,No ,4.5,2012,34
324603,674555,No ,0.6 + 2.1b ,2012,32
325243,674400,No ,0.3 + 2.1b ,2012,31
324880,673891,Yes ,6.8,2012,47
325273,674030,Yes ,0.54,2012,56
324783,673868,Yes ,0.3,2012,43
324473,673920,No ,0.36 + 2.4b ,2012,32
324488,673978,No ,0.4 + 2.1b ,2012,31
324790,674341,No ,0.4 + 2.1b ,2012,23
325052,675217,No ,6.1,2012,32
326386,674872,Yes ,1.16,2012,36
326361,674882,Yes ,5.6,2012,37
325049,673791,Yes ,9,2012,45
325397,673869,Yes ,1,2012,38
325362,674205,Yes ,2.2 + 2.0 b ,2012,49
324624,674012,No ,0.6,2012,38
325828,674362,Yes ,5.5,2012,41
326229,672287,No ,2.35 +2 b ,2012,40
325881,673471,Yes ,4.5,2012,40
325929,673490,Yes ,3.2,2012,40
326132,673519,Yes ,3.8 +2 b ,2012,33
326047,673519,Yes ,2.4,2012,43
324731,672984,No ,2.2,2012,39
324438,672859,No ,2.2,2012,32
324682,672939,No ,3.3,2012,37
325427,673371,Yes ,2.0 + 2.1b ,2012,35
325401,673340,Yes ,3.4,2012,43
325471,673369,Yes ,5,2012,39
325397,673377,Yes ,21 + 2.1 b ,2012,30
324905,672893,No ,2.8,2012,33
326312,672614,No ,5,2012,39
326244,672581,No ,4.9,2012,34
326323,672596,No ,1.3,2012,35
325141,672733,No ,2.8,2012,29
325105,670511,No ,1.4,2012,18
324538,671166,No ,0.7,2012,26
324167,673249,Yes ,2.2,2012,46
326181,672971,No ,3.4 + 2 b ,2012,41
326112,673115,No ,3 + 2 ,2012,50
326164,673054,No ,3.74 + 2 b ,2012,42
325944,673670,Yes ,3.5,2012,52
326367,672554,No ,1.96 + 2 b ,2012,42
326383,672472,No ,2.57 + 2 b ,2012,44
324260,673270,Yes ,0.73,2012,48
324192,673332,Yes ,0.65,2012,40
325221,673263,Yes ,1.9,2012, 
325166,673242,Yes ,1.4,2012,61
325184,673261,Yes ,3,2012, 
325203,673250,Yes ,2.7,2012,60
319212,672921,No ,0.57 + 2.0bc ,2012,31
318185,672756,No ,3.6,2012,36
313028,672633,Yes ,1.8,2012,47
312664,672672,Yes ,1.6 + 2.4 bc ,2012,40
312693,672670,Yes ,2.8,2012,48
322478,674406,No ,2.6,2012,35
322082,674543,No ,3.2,2012,30
